Input,Output
"[0.728172870748985, 1.2351569973025276, 0.6540097772479159, 0.6562144790067591, 0.22661505769241222]","[0.6843712000102632, 1.1629618716632224, 0.5556594087187975, 0.6346457141092308, 0.20678862545550442]"
"[0.6843712000102632, 1.1629618716632224, 0.5556594087187975, 0.6346457141092308, 0.20678862545550442]","[0.7751439288507467, 1.1202369350314592, 0.6284642464037146, 0.6864983571997832, 0.29216954545710383]"
"[0.7751439288507467, 1.1202369350314592, 0.6284642464037146, 0.6864983571997832, 0.29216954545710383]","[0.7264127659466699, 1.1672230190205928, 0.5324891290858256, 0.7640684989901596, 0.21727426908748768]"
"[0.7264127659466699, 1.1672230190205928, 0.5324891290858256, 0.7640684989901596, 0.21727426908748768]","[0.6667768938788454, 1.0700967998736697, 0.44325915042456543, 0.7132839872641727, 0.15587181428875196]"
"[0.6667768938788454, 1.0700967998736697, 0.44325915042456543, 0.7132839872641727, 0.15587181428875196]","[0.6806737134822646, 1.1409290388268434, 0.4188020732325425, 0.7420912098621836, 0.24217113009070101]"
"[0.6806737134822646, 1.1409290388268434, 0.4188020732325425, 0.7420912098621836, 0.24217113009070101]","[0.718311830259044, 1.0956062537454314, 0.31883968588570677, 0.6590700962801954, 0.22746237985685247]"
"[0.718311830259044, 1.0956062537454314, 0.31883968588570677, 0.6590700962801954, 0.22746237985685247]","[0.6790834204676548, 1.0769166275850757, 0.30454020580078794, 0.6682192002749886, 0.15187325974558563]"
"[0.6790834204676548, 1.0769166275850757, 0.30454020580078794, 0.6682192002749886, 0.15187325974558563]","[0.6237990432664976, 1.0799419065695628, 0.253395303687473, 0.6202345265082059, 0.19104393426391802]"
"[0.6237990432664976, 1.0799419065695628, 0.253395303687473, 0.6202345265082059, 0.19104393426391802]","[0.6792183712566153, 1.0169856880339025, 0.34263841568513, 0.6447177981119425, 0.16304091662560766]"
"[0.6792183712566153, 1.0169856880339025, 0.34263841568513, 0.6447177981119425, 0.16304091662560766]","[0.6851869973010811, 0.968580058319371, 0.34872249327157656, 0.6147221160917988, 0.1640931546671266]"
"[0.6851869973010811, 0.968580058319371, 0.34872249327157656, 0.6147221160917988, 0.1640931546671266]","[0.7607597114532767, 0.9194420485729058, 0.3024526649135982, 0.5620483995815582, 0.20451852908685864]"
"[0.7607597114532767, 0.9194420485729058, 0.3024526649135982, 0.5620483995815582, 0.20451852908685864]","[0.6927355184930396, 0.929830388866357, 0.33555880848849906, 0.5593225675185394, 0.23651691237697037]"
"[0.6927355184930396, 0.929830388866357, 0.33555880848849906, 0.5593225675185394, 0.23651691237697037]","[0.7127698890658182, 0.8438465634370962, 0.36968664130014517, 0.49079990794232575, 0.2851056916129468]"
"[0.7127698890658182, 0.8438465634370962, 0.36968664130014517, 0.49079990794232575, 0.2851056916129468]","[0.7547017372146685, 0.9425473538063329, 0.4010751799480666, 0.5321172326589569, 0.3841215934130233]"
"[0.7547017372146685, 0.9425473538063329, 0.4010751799480666, 0.5321172326589569, 0.3841215934130233]","[0.689370746502172, 0.9597378521244768, 0.38514343423027375, 0.4742256523438645, 0.3447438726499412]"
"[0.689370746502172, 0.9597378521244768, 0.38514343423027375, 0.4742256523438645, 0.3447438726499412]","[0.7601819573978886, 0.9478108978819789, 0.2982959966147286, 0.5150520996137127, 0.38080852134864795]"
"[0.7601819573978886, 0.9478108978819789, 0.2982959966147286, 0.5150520996137127, 0.38080852134864795]","[0.6667342268319247, 1.0005154818826238, 0.29896601459146865, 0.5600396125056265, 0.2993049627989244]"
"[0.6667342268319247, 1.0005154818826238, 0.29896601459146865, 0.5600396125056265, 0.2993049627989244]","[0.6402318169970428, 1.0178546924132088, 0.2866793799704804, 0.5052764991555921, 0.3593865258373645]"
"[0.6402318169970428, 1.0178546924132088, 0.2866793799704804, 0.5052764991555921, 0.3593865258373645]","[0.6167772176464463, 1.1169332495913562, 0.27207422356794086, 0.5378979035412643, 0.3758915984496611]"
"[0.6167772176464463, 1.1169332495913562, 0.27207422356794086, 0.5378979035412643, 0.3758915984496611]","[0.5706041927010569, 1.1619609556837145, 0.3564403504268654, 0.5831103756503857, 0.46621642545814096]"
"[0.5706041927010569, 1.1619609556837145, 0.3564403504268654, 0.5831103756503857, 0.46621642545814096]","[0.5045940002575733, 1.2450932375693569, 0.44724555502768737, 0.566896687995638, 0.45346259154698465]"
"[0.5045940002575733, 1.2450932375693569, 0.44724555502768737, 0.566896687995638, 0.45346259154698465]","[0.5371998211044224, 1.2256286838553545, 0.35753833171451727, 0.6379353912443912, 0.38399763714810004]"
"[0.5371998211044224, 1.2256286838553545, 0.35753833171451727, 0.6379353912443912, 0.38399763714810004]","[0.6329118208962028, 1.1611413216468298, 0.2763664123701734, 0.5926829775685238, 0.45571835643830183]"
"[0.6329118208962028, 1.1611413216468298, 0.2763664123701734, 0.5926829775685238, 0.45571835643830183]","[0.5430531894823202, 1.1309776829039506, 0.23098557293930355, 0.5936340321918335, 0.5025043613365321]"
"[0.5430531894823202, 1.1309776829039506, 0.23098557293930355, 0.5936340321918335, 0.5025043613365321]","[0.5198192350927234, 1.09108909802476, 0.3108723275272802, 0.5325216324998479, 0.5208819703510794]"
"[0.5198192350927234, 1.09108909802476, 0.3108723275272802, 0.5325216324998479, 0.5208819703510794]","[0.5397318335170949, 1.1537125454814592, 0.3146285650515152, 0.550275198722401, 0.5503942697781834]"
"[0.5397318335170949, 1.1537125454814592, 0.3146285650515152, 0.550275198722401, 0.5503942697781834]","[0.6359675614837603, 1.1424615772389566, 0.39652931570133354, 0.6497244516020417, 0.5201424401069903]"
"[0.6359675614837603, 1.1424615772389566, 0.39652931570133354, 0.6497244516020417, 0.5201424401069903]","[0.5639653923930752, 1.1607036859381252, 0.4155661859794178, 0.5524460972175, 0.5173405020043643]"
"[0.5639653923930752, 1.1607036859381252, 0.4155661859794178, 0.5524460972175, 0.5173405020043643]","[0.46841498721072067, 1.1144128460946017, 0.47409907233869164, 0.46359390836120973, 0.5211851198738143]"
"[0.46841498721072067, 1.1144128460946017, 0.47409907233869164, 0.46359390836120973, 0.5211851198738143]","[0.5495381442978411, 1.1558623442757543, 0.5233086689143279, 0.43199410764212937, 0.5945235337968977]"
"[0.5495381442978411, 1.1558623442757543, 0.5233086689143279, 0.43199410764212937, 0.5945235337968977]","[0.5324267129332954, 1.0696295532324793, 0.4561675930753716, 0.501755577433099, 0.5402775037595735]"
"[0.5324267129332954, 1.0696295532324793, 0.4561675930753716, 0.501755577433099, 0.5402775037595735]","[0.5919050355761546, 1.0290670299515847, 0.40130819899931636, 0.5475758233233898, 0.5989821725260134]"
"[0.5919050355761546, 1.0290670299515847, 0.40130819899931636, 0.5475758233233898, 0.5989821725260134]","[0.5869668216213594, 1.11314821992223, 0.33160652285299774, 0.45939761196214035, 0.545987449612456]"
"[0.5869668216213594, 1.11314821992223, 0.33160652285299774, 0.45939761196214035, 0.545987449612456]","[0.6266069934216506, 1.039256938185409, 0.38585780854242807, 0.4975089749573369, 0.6178382595430653]"
"[0.6266069934216506, 1.039256938185409, 0.38585780854242807, 0.4975089749573369, 0.6178382595430653]","[0.585232268496078, 1.0341156041961506, 0.47289569941822823, 0.47374082482451685, 0.6276529544613897]"
"[0.585232268496078, 1.0341156041961506, 0.47289569941822823, 0.47374082482451685, 0.6276529544613897]","[0.4939022682496348, 1.0453887992585327, 0.49300449897823184, 0.42141872800165026, 0.6410280868386751]"
"[0.4939022682496348, 1.0453887992585327, 0.49300449897823184, 0.42141872800165026, 0.6410280868386751]","[0.5708202000680409, 1.016155715869518, 0.58589988853437, 0.34277115475839615, 0.5541264647921351]"
"[0.5708202000680409, 1.016155715869518, 0.58589988853437, 0.34277115475839615, 0.5541264647921351]","[0.5229541902557784, 1.0002789532111531, 0.49752331503639813, 0.3537547150161774, 0.5262172614198158]"
"[0.5229541902557784, 1.0002789532111531, 0.49752331503639813, 0.3537547150161774, 0.5262172614198158]","[0.42569966510360224, 0.9301653818811272, 0.47944722617691354, 0.32335985447207877, 0.44546381220648557]"
"[0.42569966510360224, 0.9301653818811272, 0.47944722617691354, 0.32335985447207877, 0.44546381220648557]","[0.41457706357672364, 0.936014328569047, 0.45837026304271256, 0.3877108595013188, 0.45430012183910584]"
"[0.41457706357672364, 0.936014328569047, 0.45837026304271256, 0.3877108595013188, 0.45430012183910584]","[0.355481489102677, 1.035185229162405, 0.5531110239708428, 0.3509530410378696, 0.5057413137246869]"
"[0.355481489102677, 1.035185229162405, 0.5531110239708428, 0.3509530410378696, 0.5057413137246869]","[0.2634607790498302, 1.0243262071264665, 0.6090548837706459, 0.28926505422183896, 0.5650089599925688]"
"[0.2634607790498302, 1.0243262071264665, 0.6090548837706459, 0.28926505422183896, 0.5650089599925688]","[0.3270201746999959, 1.0566589510266462, 0.583881528190856, 0.3342750483980307, 0.6217497068391311]"
"[0.3270201746999959, 1.0566589510266462, 0.583881528190856, 0.3342750483980307, 0.6217497068391311]","[0.3251141054365045, 0.9602829787262094, 0.5600746410267394, 0.41983855063278, 0.6663191366998074]"
"[0.3251141054365045, 0.9602829787262094, 0.5600746410267394, 0.41983855063278, 0.6663191366998074]","[0.24507758051097034, 0.9509356871573276, 0.5921543827631517, 0.40336715415693014, 0.5715176282115504]"
"[0.24507758051097034, 0.9509356871573276, 0.5921543827631517, 0.40336715415693014, 0.5715176282115504]","[0.15264571090526646, 1.0226708130408197, 0.5913519292009962, 0.4853322203541408, 0.514692292107187]"
"[0.15264571090526646, 1.0226708130408197, 0.5913519292009962, 0.4853322203541408, 0.514692292107187]","[0.19522050034733945, 0.9593059718530673, 0.6751133885059547, 0.5417050465822735, 0.5130623758434887]"
"[0.19522050034733945, 0.9593059718530673, 0.6751133885059547, 0.5417050465822735, 0.5130623758434887]","[0.236051553745158, 1.0180039861874117, 0.6260637549145428, 0.5971966606192851, 0.4917594124551434]"
"[0.236051553745158, 1.0180039861874117, 0.6260637549145428, 0.5971966606192851, 0.4917594124551434]","[0.20047486413635734, 1.0582672210656547, 0.5784369650000679, 0.5552634235220899, 0.5613933828253488]"
"[0.20047486413635734, 1.0582672210656547, 0.5784369650000679, 0.5552634235220899, 0.5613933828253488]","[0.26618070073866407, 1.0365394314953522, 0.6687888953721346, 0.4671970927349655, 0.5445866133680617]"
"[0.26618070073866407, 1.0365394314953522, 0.6687888953721346, 0.4671970927349655, 0.5445866133680617]","[0.1720771549196234, 1.0443604321217803, 0.692407607260556, 0.38269095491997646, 0.6121147346184159]"
"[0.1720771549196234, 1.0443604321217803, 0.692407607260556, 0.38269095491997646, 0.6121147346184159]","[0.17844842776417727, 1.0776758198308438, 0.7619374420690853, 0.3867709759560374, 0.5975692754415086]"
"[0.17844842776417727, 1.0776758198308438, 0.7619374420690853, 0.3867709759560374, 0.5975692754415086]","[0.09579452753996695, 1.0055236178418494, 0.8226604453872683, 0.36147908191477884, 0.6024262508812918]"
"[0.09579452753996695, 1.0055236178418494, 0.8226604453872683, 0.36147908191477884, 0.6024262508812918]","[0.07336874474336516, 1.0381362348571277, 0.8514511085741299, 0.38064922510646115, 0.6089394979898982]"
"[0.07336874474336516, 1.0381362348571277, 0.8514511085741299, 0.38064922510646115, 0.6089394979898982]","[0.14117754077817138, 1.095266067614294, 0.9470503590461506, 0.4300497411213175, 0.7077905222654317]"
"[0.14117754077817138, 1.095266067614294, 0.9470503590461506, 0.4300497411213175, 0.7077905222654317]","[0.14388031688270836, 1.0020942273460087, 0.8868593702470096, 0.4111683658004305, 0.6673964506755832]"
"[0.14388031688270836, 1.0020942273460087, 0.8868593702470096, 0.4111683658004305, 0.6673964506755832]","[0.13231088314663295, 0.9941952187646268, 0.9337030184926576, 0.406509053201637, 0.658403757845354]"
"[0.13231088314663295, 0.9941952187646268, 0.9337030184926576, 0.406509053201637, 0.658403757845354]","[0.13544585340929277, 1.0820301859879597, 0.8762539683443523, 0.4365426206748404, 0.6595704599501316]"
"[0.13544585340929277, 1.0820301859879597, 0.8762539683443523, 0.4365426206748404, 0.6595704599501316]","[0.20713766258951932, 1.0367859425870911, 0.7860277506094892, 0.3419770855725398, 0.5637831539945475]"
"[0.20713766258951932, 1.0367859425870911, 0.7860277506094892, 0.3419770855725398, 0.5637831539945475]","[0.24988805189287264, 0.9846571292742133, 0.8547515155194918, 0.34669463604538686, 0.5978630766352988]"
"[0.24988805189287264, 0.9846571292742133, 0.8547515155194918, 0.34669463604538686, 0.5978630766352988]","[0.20827612272908655, 0.9029812519234045, 0.7701334146515528, 0.386226915899693, 0.5836375310544065]"
"[0.20827612272908655, 0.9029812519234045, 0.7701334146515528, 0.386226915899693, 0.5836375310544065]","[0.11573229451462431, 0.8973831002669382, 0.7819961960935649, 0.4490871807323254, 0.6192133941756135]"
"[0.11573229451462431, 0.8973831002669382, 0.7819961960935649, 0.4490871807323254, 0.6192133941756135]","[0.03591804624235552, 0.8926055263342074, 0.8216971281158422, 0.521972897846443, 0.5347625890532758]"
"[0.03591804624235552, 0.8926055263342074, 0.8216971281158422, 0.521972897846443, 0.5347625890532758]","[0.04956659065806805, 0.8068723192605067, 0.8288172031327896, 0.5955519026218381, 0.5930274205033117]"
"[0.04956659065806805, 0.8068723192605067, 0.8288172031327896, 0.5955519026218381, 0.5930274205033117]","[0.1168462906042239, 0.7952566301097515, 0.7961023767565161, 0.6234563172026776, 0.5295574644854295]"
"[0.1168462906042239, 0.7952566301097515, 0.7961023767565161, 0.6234563172026776, 0.5295574644854295]","[0.08742036112614052, 0.6986141261386299, 0.8675561118429596, 0.5682284111469308, 0.4855809837189239]"
"[0.08742036112614052, 0.6986141261386299, 0.8675561118429596, 0.5682284111469308, 0.4855809837189239]","[0.17247434365765163, 0.6033524600308888, 0.7714941899874781, 0.5350888343568414, 0.582137563795579]"
"[0.17247434365765163, 0.6033524600308888, 0.7714941899874781, 0.5350888343568414, 0.582137563795579]","[0.18968091395960196, 0.5738899685776839, 0.8483293824344673, 0.5755633918549109, 0.5704191997904376]"
"[0.18968091395960196, 0.5738899685776839, 0.8483293824344673, 0.5755633918549109, 0.5704191997904376]","[0.25822776906297884, 0.5285105891117746, 0.8669770419949296, 0.6073105160772325, 0.5772888439816606]"
"[0.25822776906297884, 0.5285105891117746, 0.8669770419949296, 0.6073105160772325, 0.5772888439816606]","[0.2794217828167214, 0.5608633984341543, 0.9607829042889615, 0.5866442805513556, 0.6231444266963915]"
"[0.2794217828167214, 0.5608633984341543, 0.9607829042889615, 0.5866442805513556, 0.6231444266963915]","[0.27460970213890845, 0.595181210240522, 0.9542136110248377, 0.5729510813981605, 0.6552744429289279]"
"[0.27460970213890845, 0.595181210240522, 0.9542136110248377, 0.5729510813981605, 0.6552744429289279]","[0.28524620761402875, 0.6294514540044696, 0.8753290595245332, 0.6192049057363672, 0.6526439409890139]"
"[0.28524620761402875, 0.6294514540044696, 0.8753290595245332, 0.6192049057363672, 0.6526439409890139]","[0.25764529455574026, 0.5878967965171731, 0.8020246007751037, 0.7162778606880029, 0.5690996618860831]"
"[0.25764529455574026, 0.5878967965171731, 0.8020246007751037, 0.7162778606880029, 0.5690996618860831]","[0.24551603792572946, 0.5873814098473099, 0.8501025703731693, 0.7542705363661929, 0.5596508388571079]"
"[0.24551603792572946, 0.5873814098473099, 0.8501025703731693, 0.7542705363661929, 0.5596508388571079]","[0.2866334859041738, 0.5567168325233011, 0.8406705039074798, 0.6691195851191964, 0.526009462642814]"
"[0.2866334859041738, 0.5567168325233011, 0.8406705039074798, 0.6691195851191964, 0.526009462642814]","[0.3338747915644076, 0.5080129279307121, 0.7806329192546252, 0.596012646206505, 0.4764047460114973]"
"[0.3338747915644076, 0.5080129279307121, 0.7806329192546252, 0.596012646206505, 0.4764047460114973]","[0.41805958328383036, 0.529233356783115, 0.7252183436629697, 0.5571549979232039, 0.4709948010103375]"
"[0.41805958328383036, 0.529233356783115, 0.7252183436629697, 0.5571549979232039, 0.4709948010103375]","[0.37086728029569566, 0.5555982576207774, 0.7940295072985003, 0.5912587704511072, 0.45001954689656803]"
"[0.37086728029569566, 0.5555982576207774, 0.7940295072985003, 0.5912587704511072, 0.45001954689656803]","[0.32466941801965543, 0.5137787402200856, 0.8693919552749454, 0.5384751449463601, 0.3572487302362815]"
"[0.32466941801965543, 0.5137787402200856, 0.8693919552749454, 0.5384751449463601, 0.3572487302362815]","[0.23968348633054637, 0.5937669325906716, 0.8303868836469179, 0.4960957484912186, 0.4055883640547845]"
"[0.23968348633054637, 0.5937669325906716, 0.8303868836469179, 0.4960957484912186, 0.4055883640547845]","[0.2093528104253567, 0.5301603148233079, 0.7467840909938815, 0.45899330222623425, 0.41286136257660505]"
"[0.2093528104253567, 0.5301603148233079, 0.7467840909938815, 0.45899330222623425, 0.41286136257660505]","[0.23804358029580946, 0.5183713008974181, 0.6684799476186861, 0.548410270011514, 0.4921185622770812]"
"[0.23804358029580946, 0.5183713008974181, 0.6684799476186861, 0.548410270011514, 0.4921185622770812]","[0.19528370767509357, 0.6128046161319599, 0.6841402218432667, 0.5383136692872766, 0.4167749874374941]"
"[0.19528370767509357, 0.6128046161319599, 0.6841402218432667, 0.5383136692872766, 0.4167749874374941]","[0.24247770379319022, 0.6120326801305497, 0.6739443285609886, 0.5656040333089091, 0.3255176865397336]"
"[0.24247770379319022, 0.6120326801305497, 0.6739443285609886, 0.5656040333089091, 0.3255176865397336]","[0.23728500973473493, 0.6672452056165722, 0.6127141990868021, 0.6406038465358004, 0.29710790511160584]"
"[0.23728500973473493, 0.6672452056165722, 0.6127141990868021, 0.6406038465358004, 0.29710790511160584]","[0.2928311012111222, 0.6732638682430184, 0.5301351873723911, 0.7312298249508373, 0.38152874908256307]"
"[0.2928311012111222, 0.6732638682430184, 0.5301351873723911, 0.7312298249508373, 0.38152874908256307]","[0.3038805703033363, 0.6101530566547978, 0.5099801249673402, 0.7213681221729747, 0.29826514729597997]"
"[0.3038805703033363, 0.6101530566547978, 0.5099801249673402, 0.7213681221729747, 0.29826514729597997]","[0.3856316479140101, 0.6692753123076541, 0.5184166362215922, 0.7309900745877175, 0.21565181071877731]"
"[0.3856316479140101, 0.6692753123076541, 0.5184166362215922, 0.7309900745877175, 0.21565181071877731]","[0.36164324921388596, 0.6473323750551643, 0.5665328695373796, 0.7388648270424907, 0.14393056818226008]"
"[0.36164324921388596, 0.6473323750551643, 0.5665328695373796, 0.7388648270424907, 0.14393056818226008]","[0.3657912081431419, 0.6312382553235054, 0.6469600865655613, 0.7647597647576266, 0.2013011794696564]"
"[0.3657912081431419, 0.6312382553235054, 0.6469600865655613, 0.7647597647576266, 0.2013011794696564]","[0.32556907101448923, 0.6920779422256993, 0.7454173418396572, 0.8187632447858815, 0.14471762626962204]"
"[0.32556907101448923, 0.6920779422256993, 0.7454173418396572, 0.8187632447858815, 0.14471762626962204]","[0.4166126833941952, 0.7631784061767526, 0.7114469168959248, 0.8472719441959078, 0.16539155660286614]"
"[0.4166126833941952, 0.7631784061767526, 0.7114469168959248, 0.8472719441959078, 0.16539155660286614]","[0.3348025921260879, 0.8277774272911304, 0.7023795582018302, 0.9412062603617112, 0.1563523206906228]"
"[0.3348025921260879, 0.8277774272911304, 0.7023795582018302, 0.9412062603617112, 0.1563523206906228]","[0.39987627957163824, 0.892264680646284, 0.7967192725047019, 0.9453716218897719, 0.2471085871211605]"
"[0.39987627957163824, 0.892264680646284, 0.7967192725047019, 0.9453716218897719, 0.2471085871211605]","[0.46025192059821096, 0.9499686838580553, 0.6997682866039883, 0.9072543575812434, 0.30999179719651815]"
"[0.46025192059821096, 0.9499686838580553, 0.6997682866039883, 0.9072543575812434, 0.30999179719651815]","[0.5522148263781536, 0.9920736970237488, 0.792820692544398, 0.9779436176701195, 0.23816197312139342]"
"[0.5522148263781536, 0.9920736970237488, 0.792820692544398, 0.9779436176701195, 0.23816197312139342]","[0.4729379929912371, 1.058798509562738, 0.8647292515277608, 1.0354220892031702, 0.1692958815956977]"
"[0.4729379929912371, 1.058798509562738, 0.8647292515277608, 1.0354220892031702, 0.1692958815956977]","[0.4498430622390609, 1.1292300756221565, 0.7985045122112119, 0.9868166582386658, 0.22868155087025868]"
"[0.4498430622390609, 1.1292300756221565, 0.7985045122112119, 0.9868166582386658, 0.22868155087025868]","[0.5013626405435951, 1.0476104121235992, 0.821110183588916, 0.8964045572676361, 0.30455201875566396]"
"[0.5013626405435951, 1.0476104121235992, 0.821110183588916, 0.8964045572676361, 0.30455201875566396]","[0.40202058296208454, 1.136768470918281, 0.914011908523487, 0.9330217614698753, 0.3776092115492519]"
"[0.40202058296208454, 1.136768470918281, 0.914011908523487, 0.9330217614698753, 0.3776092115492519]","[0.38545074506071203, 1.0429794121745428, 0.889413941783997, 0.8467812097758289, 0.39892793807006904]"
"[0.38545074506071203, 1.0429794121745428, 0.889413941783997, 0.8467812097758289, 0.39892793807006904]","[0.37041040972730677, 1.1044039177260176, 0.9158297536876103, 0.7505075845560983, 0.46096564339247964]"
"[0.37041040972730677, 1.1044039177260176, 0.9158297536876103, 0.7505075845560983, 0.46096564339247964]","[0.3775279892366314, 1.1795244306909634, 0.9780846683107439, 0.7235306100198707, 0.525132028760705]"
"[0.3775279892366314, 1.1795244306909634, 0.9780846683107439, 0.7235306100198707, 0.525132028760705]","[0.3033246927477269, 1.1609864721299061, 1.0552451737990456, 0.7394815347450443, 0.5620524537718884]"
"[0.3033246927477269, 1.1609864721299061, 1.0552451737990456, 0.7394815347450443, 0.5620524537718884]","[0.3979099635639183, 1.127022490966292, 1.1421538527636463, 0.643025146350727, 0.6084776349773205]"
"[0.3979099635639183, 1.127022490966292, 1.1421538527636463, 0.643025146350727, 0.6084776349773205]","[0.39098452997559396, 1.0860170820788957, 1.235160499496992, 0.5812123620689152, 0.7017862474453133]"
"[0.39098452997559396, 1.0860170820788957, 1.235160499496992, 0.5812123620689152, 0.7017862474453133]","[0.41401783304992457, 1.0153907612430684, 1.1943488287358464, 0.5156419592665059, 0.7123197324646322]"
"[0.41401783304992457, 1.0153907612430684, 1.1943488287358464, 0.5156419592665059, 0.7123197324646322]","[0.4924262982280616, 0.9292666918735691, 1.1394373045709005, 0.45398900975191747, 0.803693486740606]"
